CPU_Frequency (GHz),RAM (GB),Memory,Weight (kg),Price (Euro),Laptop_ID
2.3,4,500GB HDD,2.24,769.15,1112
2.0,4,128GB SSD,2.1,429.0,1113
2.5,8,512GB SSD,1.16,1969.0,1114
1.44,4,64GB Flash Storage,0.69,549.0,1115
2.4,8,256GB SSD,1.23,1379.0,1116
2.7,16,256GB SSD +  1.0TB Hybrid,4.6,2749.99,1117
2.5,8,256GB SSD,1.25,1029.0,1118
2.7,16,512GB SSD,1.05,2226.0,1119
2.6,8,128GB SSD +  1TB HDD,3.52,1312.49,1120
1.44,4,32GB Flash Storage,1.35,196.0,1121
2.3,8,256GB SSD,1.16,1690.0,1122
2.3,8,256GB SSD,1.43,1513.0,1123
2.3,4,500GB HDD,2.09,523.63,1124
2.4,4,1TB HDD,2.0,435.0,1125
2.5,8,256GB SSD,1.8,1669.0,1126
1.44,4,64GB Flash Storage,0.69,479.0,1127
2.4,8,256GB SSD,1.26,1895.0,1128
2.5,8,128GB SSD +  1TB HDD,2.4,989.0,1129
2.3,8,128GB SSD +  1TB HDD,3.35,1129.0,1130
2.7,8,2TB HDD,2.04,629.0,1131
2.6,8,512GB SSD,1.8,2050.38,1132
1.1,4,32GB Flash Storage,1.5,278.0,1133
2.7,8,256GB SSD,1.84,752.0,1134
2.5,4,1TB HDD,2.23,616.0,1135
2.5,16,1.0TB Hybrid,2.5,1099.0,1136
2.6,8,256GB SSD,3.0,3949.4,1137
2.5,8,1TB HDD,2.5,784.0,1138
2.7,16,256GB SSD +  1TB HDD,3.78,2399.0,1139
2.5,8,256GB SSD,1.88,2171.72,1140
2.6,16,512GB SSD,2.8,2440.0,1141
2.8,8,128GB SSD +  1TB HDD,2.4,1142.8,1142
2.4,8,256GB SSD,1.48,1629.0,1143
2.6,8,256GB SSD,2.59,2229.0,1144
2.6,8,256GB SSD,1.48,1799.0,1145
2.6,8,256GB SSD,2.0,1899.0,1146
2.5,8,256GB SSD,1.26,2296.95,1147
2.7,8,256GB SSD,2.18,1009.9,1148
2.3,8,256GB SSD,1.88,1579.0,1149
2.5,8,256GB SSD,1.27,2339.0,1150
2.0,4,1TB HDD,1.9,339.0,1151
1.8,4,500GB HDD,1.86,297.0,1152
2.3,8,1TB HDD,2.32,599.0,1153
2.8,8,1TB HDD,2.62,1199.0,1154
2.3,8,256GB SSD,2.04,2250.68,1155
2.5,4,256GB SSD,1.91,478.89,1156
2.8,16,256GB SSD +  1TB HDD,2.7,1492.8,1157
2.6,12,512GB SSD,1.4,2299.0,1158
2.3,8,1.0TB Hybrid,2.5,788.49,1159
2.6,8,512GB SSD,1.48,2041.0,1160
2.6,8,256GB SSD,1.7,1499.0,1161
2.6,16,256GB SSD +  1TB HDD,1.7,1769.0,1162
2.8,8,1TB HDD,2.62,899.0,1163
2.0,8,1TB HDD,2.2,459.0,1164
2.3,4,500GB HDD,2.1,476.99,1165
2.8,8,128GB SSD +  1TB HDD,2.62,1498.0,1166
2.5,8,256GB SSD,1.95,1390.0,1167
2.0,4,1TB HDD,2.2,468.0,1168
1.6,2,32GB Flash Storage,1.44,249.0,1169
2.7,8,1TB HDD,2.2,839.0,1170
2.5,8,256GB SSD,1.96,679.0,1171
1.8,16,512GB SSD,2.1,1159.0,1172
1.6,4,500GB HDD,2.2,369.0,1173
2.3,4,500GB HDD,2.1,398.0,1174
2.7,8,1TB HDD,2.2,709.0,1175
2.4,4,256GB SSD,2.0,769.0,1176
2.5,4,1.0TB Hybrid,2.32,825.0,1177
2.6,16,512GB SSD,3.31,1305.0,1178
2.6,16,128GB SSD +  1TB HDD,1.91,2153.37,1179
2.3,4,500GB HDD,2.07,650.0,1180
2.3,8,256GB SSD,1.36,1637.0,1181
2.7,6,256GB SSD,1.54,831.0,1182
2.7,8,256GB SSD,1.98,895.01,1183
2.0,4,500GB HDD,2.1,333.0,1184
2.6,6,1TB HDD,2.18,799.0,1185
2.6,8,256GB SSD +  1TB HDD,2.591,909.0,1186
2.7,16,512GB SSD,2.09,1179.0,1187
2.5,4,256GB SSD,2.23,691.0,1188
2.4,8,256GB SSD,1.23,1099.0,1189
2.8,16,256GB SSD +  1TB HDD,4.2,2599.0,1190
2.5,8,1TB HDD,2.4,819.0,1191
2.0,4,32GB Flash Storage,1.15,659.0,1192
2.5,4,500GB HDD,1.86,485.0,1193
1.1,8,256GB Flash Storage,0.92,1163.0,1194
2.5,8,256GB SSD,1.6,1199.0,1195
2.8,12,128GB SSD +  1TB HDD,2.21,1327.0,1196
2.0,4,1TB HDD,1.9,368.0,1197
2.6,16,512GB SSD +  1TB HDD,4.3,2150.0,1198
2.0,4,1TB HDD,2.1,272.0,1199
2.8,16,256GB SSD +  1TB HDD,2.43,2048.9,1200
2.0,4,128GB SSD,2.3,499.0,1201
2.5,8,500GB HDD,2.2,629.0,1202
1.8,16,512GB SSD,2.0,1285.0,1203
2.7,16,512GB SSD,1.2,2680.0,1204
2.6,8,1TB HDD,2.2,1169.0,1205
2.5,8,256GB SSD,2.36,889.0,1206
2.5,8,256GB SSD,1.91,579.0,1207
2.2,4,500GB HDD,2.2,299.0,1208
2.0,8,1TB HDD,3.3,629.0,1209
2.8,16,256GB SSD +  1TB HDD,2.2,2449.0,1210
1.2,8,512GB Flash Storage,0.92,1279.0,1211
2.8,16,128GB SSD +  1TB HDD,2.2,1749.0,1212
2.6,16,256GB SSD +  1TB HDD,2.43,1948.99,1213
2.5,8,256GB SSD,2.191,999.0,1214
2.8,16,256GB SSD +  1TB HDD,2.9,1949.0,1215
1.5,2,32GB SSD,1.3,174.0,1216
2.0,4,1TB HDD,3.3,598.0,1217
2.5,8,1TB HDD,2.8,539.0,1218
2.6,8,128GB SSD +  1TB HDD,2.6,1272.0,1219
1.3,8,256GB SSD,1.2,1149.0,1220
2.6,8,256GB SSD,2.3,1529.0,1221
2.6,8,128GB SSD +  1TB HDD,2.2,1476.11,1222
2.7,6,1TB HDD,2.1,529.0,1223
2.4,8,256GB SSD,1.26,1713.37,1224
2.4,4,500GB HDD,2.08,509.0,1225
1.6,4,1TB HDD,2.65,309.0,1226
2.7,8,256GB SSD,1.29,1477.0,1227
2.5,4,1TB HDD,2.18,521.86,1228
2.6,16,128GB SSD +  1TB HDD,2.6,1029.0,1229
2.8,8,128GB SSD +  1TB HDD,2.2,1149.0,1230
2.5,16,512GB SSD,1.3,1650.0,1231
2.8,16,1TB SSD,1.95,3499.0,1232
2.4,8,1TB HDD,2.3,469.01,1233
2.8,16,256GB SSD +  1TB HDD,2.7,1598.0,1234
1.6,4,256GB Flash Storage,1.08,959.0,1235
2.0,4,1TB HDD,2.1,478.0,1236
2.5,8,256GB SSD,1.54,2198.19,1237
2.3,4,500GB HDD,2.24,737.0,1238
2.6,8,128GB SSD +  1TB HDD,2.3,1169.0,1239
2.7,16,512GB SSD,1.4,1499.0,1240
3.6,6,256GB SSD,2.2,597.57,1241
2.5,8,256GB SSD,1.45,1280.0,1242
2.0,4,500GB HDD,2.4,361.8,1243
2.7,16,512GB SSD,2.77,1799.0,1244
2.3,4,256GB SSD,1.54,1099.99,1245
2.8,16,256GB SSD +  1TB HDD,2.5,1600.0,1246
2.5,4,500GB HDD,1.6,875.0,1247
2.6,16,256GB SSD +  1TB HDD,2.34,2325.0,1248
2.5,8,256GB SSD,2.3,573.0,1249
1.2,8,256GB SSD,1.24,1813.0,1250
1.6,4,500GB HDD,2.2,324.0,1251
2.5,4,500GB HDD,1.86,399.0,1252
2.3,6,128GB SSD,2.4,569.0,1253
2.3,8,256GB SSD,1.9,1072.0,1254
1.6,4,500GB HDD,2.2,443.99,1255
1.1,4,1TB HDD,2.0,339.0,1256
2.6,16,128GB SSD +  1TB HDD,4.0,1900.0,1257
2.0,4,500GB HDD,2.29,490.0,1258
2.5,8,1.0TB Hybrid,2.32,895.0,1259
2.6,8,128GB SSD +  1TB HDD,2.4,1229.0,1260
2.3,4,128GB SSD,1.8,833.01,1261
0.9,8,512GB SSD,1.2,729.0,1262
2.4,6,1TB HDD,2.3,459.0,1263
1.6,4,500GB HDD,2.4,289.0,1264
1.6,2,500GB HDD,2.2,379.0,1265
2.6,8,1TB HDD,2.6,899.0,1266
2.9,6,1.0TB Hybrid,2.04,549.99,1267
2.7,8,1TB HDD,2.3,805.99,1268
1.6,2,32GB Flash Storage,1.17,209.0,1269
2.5,4,500GB HDD,2.2,720.32,1270
2.5,4,128GB SSD,1.8,638.0,1271
2.5,16,512GB SSD,1.3,1499.0,1272
1.6,2,64GB Flash Storage,1.5,229.0,1273
2.5,6,1TB HDD,2.19,764.0,1274
1.6,4,500GB HDD,2.2,369.0,1275
