Company,Product,TypeName,ScreenResolution,CPU_Company,CPU_Type,GPU_Company,GPU_Type,OpSys,Laptop_ID
Dell,Precision M5520,Workstation,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,Nvidia,Quadro M1200,Windows 10,399
Lenovo,Thinkpad X1,Ultrabook,IPS Panel 2560x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,400
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,401
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,402
Lenovo,ThinkPad E580,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon RX 550,Windows 10,403
Acer,Aspire 7,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Linux,404
MSI,GE73VR 7RF,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,405
Asus,Zenbook 3,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,406
Toshiba,Portege Z30-C-16P,Ultrabook,Full HD 1920x1080,Intel,Core i7 6500U,Intel,HD Graphics 520,Windows 10,407
Dell,Latitude 7480,Ultrabook,Full HD 1920x1080,Intel,Core i7 7600U,Intel,HD Graphics,Windows 10,408
Lenovo,IdeaPad 320-15ISK,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,409
Lenovo,Lenovo IdeaPad,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,410
Lenovo,ThinkPad P51,Workstation,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,Quadro M1200,Windows 10,411
Lenovo,Thinkpad T470p,Ultrabook,IPS Panel Full HD 2560x1440,Intel,Core i7 7700HQ,Nvidia,GeForce GT 940MX,Windows 10,412
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,AMD,Radeon 520,Windows 10,413
Acer,Aspire R7,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,Intel,HD Graphics 520,Windows 10,414
Asus,ZenBook Flip,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,415
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,Radeon R5 M430,Linux,416
Dell,Latitude 3380,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,417
HP,EliteBook 1040,Ultrabook,Full HD 1920x1080,Intel,Core i7 6500U,Intel,HD Graphics 520,Windows 10,418
Dell,Inspiron 3567,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,419
Lenovo,ThinkPad E480,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon RX 550,Windows 10,420
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,421
Chuwi,LapBook 12.3,Notebook,IPS Panel Retina Display 2736x1824,Intel,Celeron Quad Core N3450,Intel,HD Graphics 500,Windows 10,422
HP,ProBook 650,Notebook,Full HD 1920x1080,Intel,Core i7 7820HQ,Intel,HD Graphics 630,Windows 10,423
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,Full HD 1920x1080,Intel,Core i3 7100U,Nvidia,GeForce 940MX,Linux,424
Dell,Alienware 17,Gaming,IPS Panel 2560x1440,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1070,Windows 10,425
Dell,Inspiron 7577,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,426
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,427
Dell,Latitude 5480,Ultrabook,Full HD 1920x1080,Intel,Core i7 7600U,Intel,HD Graphics 620,Linux,428
HP,Omen 17-w207nv,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,429
Mediacom,FlexBook Edge,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,430
Samsung,Chromebook 3,Netbook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Chrome OS,431
Lenovo,Thinkpad 13,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,432
Lenovo,IdeaPad 320s-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,Intel,HD Graphics 620,Windows 10,433
Lenovo,Thinkpad T570,Workstation,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7600U,Nvidia,GeForce 940MX,Windows 10,434
Lenovo,Thinkpad P51,Notebook,Full HD 1920x1080,Intel,Core i7 7820HQ,Nvidia,Quadro M2200M,Windows 10,435
Asus,Rog Strix,Gaming,Full HD 1920x1080,AMD,Ryzen 1600,AMD,Radeon RX 580,Windows 10,436
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Windows 10,437
Google,Pixelbook (Core,Ultrabook,Touchscreen 2400x1600,Intel,Core i7 7Y75,Intel,HD Graphics 615,Chrome OS,438
Lenovo,ThinkPad T470s,Ultrabook,2560x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,439
Asus,VivoBook Max,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Linux,440
Lenovo,IdeaPad 320-15AST,Notebook,1600x900,AMD,A6-Series 9220,AMD,Radeon R4,Windows 10,441
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,442
Lenovo,ThinkPad X270,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,443
Lenovo,IdeaPad 320-15IAP,Notebook,Full HD 1920x1080,Intel,Pentium Quad Core N4200,Intel,HD Graphics 505,Windows 10,444
HP,Omen 15-AX205na,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,445
Dell,Latitude 5480,Notebook,Full HD 1920x1080,Intel,Core i5 7440HQ,Nvidia,GeForce 930MX,Windows 10,446
Acer,Aspire ES1-572,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Linux,447
Dell,Precision 3520,Workstation,Full HD 1920x1080,Intel,Xeon E3-1505M V6,Nvidia,Quadro M620,Windows 10,448
MSI,GV62 7RD-1686NL,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,449
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel,Core i7 7660U,Intel,Iris Plus Graphics 640,Windows 10 S,450
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,451
Dell,Precision 3520,Workstation,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,Nvidia,Quadro M620,Windows 10,452
HP,ProBook 650,Workstation,IPS Panel Full HD 1920x1080,Intel,Core i7 7820HQ,Intel,HD Graphics 620,Windows 10,453
Lenovo,ThinkPad T470,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,454
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,455
Dell,Inspiron 3168,2 in 1 Convertible,Touchscreen 1366x768,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405,Windows 10,456
Dell,Alienware 17,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,457
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel,Core M m3-7Y30,Intel,HD Graphics 615,Windows 10 S,458
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel,Core i7 7660U,Intel,Iris Plus Graphics 640,Windows 10 S,459
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,1600x900,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,460
Acer,Aspire E5-576G,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Nvidia,GeForce 940MX,Windows 10,461
Acer,TravelMate B,Netbook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Windows 10,462
Asus,Pro P2540UA-AB51,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,463
Lenovo,IdeaPad 510s-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R7 M460,No OS,464
Lenovo,Thinkpad P51,Notebook,Full HD 1920x1080,Intel,Core i7 7820HQ,Nvidia,Quadro M2200M,Windows 10,465
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,1366x768,Intel,Pentium Quad Core N4200,Intel,HD Graphics 500,Windows 10,466
Acer,Aspire 5,Notebook,1366x768,Intel,Core i3 6006U,Nvidia,GeForce GTX 940MX,Windows 10,467
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,468
HP,Omen 17-an006nv,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,469
Lenovo,Thinkpad T460s,Ultrabook,IPS Panel Quad HD+ 2560x1440,Intel,Core i7 6600U,Intel,HD Graphics 520,Windows 10,470
HP,Spectre x360,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,471
HP,ZBook 15u,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,FirePro W4190M,Windows 10,472
Google,Pixelbook (Core,Ultrabook,Touchscreen 2400x1600,Intel,Core i5 7Y57,Intel,HD Graphics 615,Chrome OS,473
Dell,Latitude 7390,Ultrabook,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,474
Asus,ZenBook Pro,Notebook,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 6700HQ,Intel,HD Graphics 530,Windows 10,475
Dell,Latitude E5470,Notebook,1366x768,Intel,Core i3 6100U,Intel,HD Graphics 520,Windows 10,476
Dell,Precision M5520,Workstation,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,Quadro M1200,Windows 10,477
Lenovo,Thinkpad T470,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,478
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 520,Windows 10,479
Toshiba,Portege X30-D-10J,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,480
Dell,Inspiron 7570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 940MX,Windows 10,481
Dell,Vostro 3568,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,482
HP,ProBook 430,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,483
Chuwi,Lapbook 15.6,Notebook,Full HD 1920x1080,Intel,Atom x5-Z8350,Intel,HD Graphics,Windows 10,484
Lenovo,ThinkPad E570,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,485
Lenovo,ThinkPad E480,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,486
Dell,Precision 3520,Workstation,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,Nvidia,Quadro M620,Windows 10,487
Dell,XPS 15,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,488
Lenovo,Thinkpad X270,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,489
Asus,Zenbook UX390UA,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,490
Lenovo,Thinkpad E570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Windows 10,491
Toshiba,Portege X30-D-10L,Ultrabook,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,492
Asus,VivoBook Pro,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,493
Acer,Aspire 5,Notebook,1366x768,AMD,A10-Series 9620P,AMD,Radeon RX 540,Windows 10,494
Asus,Rog G752VL-UH71T,Gaming,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 6700HQ,Nvidia,GeForce GTX 965M,Windows 10,495
Lenovo,Thinkpad X260,Ultrabook,IPS Panel 1366x768,Intel,Core i5 6200U,Intel,HD Graphics 520,Windows 10,496
Lenovo,Ideapad 520-15IKBR,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,497
HP,EliteBook 840,Notebook,Full HD 1920x1080,Intel,Core i7 7600U,Intel,HD Graphics 620,Windows 10,498
Lenovo,ThinkPad 13,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,499
Lenovo,ThinkPad L570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,500
Asus,VivoBook E201NA,Netbook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10 S,501
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,1366x768,Intel,Core i5 7200U,AMD,Radeon 520,Windows 10,502
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,503
Lenovo,IdeaPad 320-14IAP,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,504
Lenovo,Chromebook N23,Netbook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Chrome OS,505
Lenovo,ThinkPad 13,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,506
Asus,ZenBook UX510UX-CN211T,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,507
Acer,Aspire A515-51G-59QF,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce MX150,Windows 10,508
HP,Envy 13-AB002nv,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,509
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,No OS,510
Dell,XPS 13,Ultrabook,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,511
Acer,Aspire A515-51G,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,512
Dell,Vostro 5568,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,513
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,514
Xiaomi,Mi Notebook,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,No OS,515
Asus,VivoBook E12,Netbook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,516
HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,Touchscreen 1366x768,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,517
Asus,ROG Zephyrus,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX1080,Windows 10,518
HP,Probook 450,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 930MX,Windows 10,519
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX1050 Ti,Windows 10,520
Lenovo,Legion Y720-15IKB,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,521
HP,Spectre X360,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,522
Dell,Latitude 5480,Notebook,Full HD 1920x1080,Intel,Core i5 7300U,Intel,HD Graphics 620,Windows 10,523
HP,ProBook 440,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,524
Dell,Inspiron 5770,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Linux,525
Lenovo,ThinkPad L470,Notebook,Full HD 1920x1080,Intel,Core i5 6200U,Intel,HD Graphics 520,Windows 7,526
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 920MX,Windows 10,527
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel,Core i3 6006U,Nvidia,GeForce 920MX,No OS,528
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,Radeon R5 M430,Windows 10,529
Dell,Latitude 5580,Notebook,Full HD 1920x1080,Intel,Core i5 7440HQ,Intel,HD Graphics 620,Windows 10,530
Dell,Alienware 17,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,531
Toshiba,Satellite Pro,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,532
Asus,Zenbook UX510UW-FI095T,Notebook,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7500U,Nvidia,GeForce GTX 960M,Windows 10,533
Mediacom,SmartBook Edge,Notebook,IPS Panel Full HD 1920x1080,Intel,Celeron Quad Core N3450,Intel,HD Graphics 500,Windows 10,534
Asus,ROG Strix,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060,Windows 10,535
Dell,Latitude 5580,Notebook,Full HD 1920x1080,Intel,Core i7 7600U,Nvidia,GeForce 930MX,Windows 10,536
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,537
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405,Windows 10,538
HP,Omen 15-ce006nv,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,539
Lenovo,Thinkpad E470,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,540
Dell,XPS 13,Ultrabook,Quad HD+ / Touchscreen 3200x1800,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,541
Dell,Vostro 5468,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,542
HP,Envy 13-AB020nr,Ultrabook,IPS Panel Quad HD+ 3200x1800,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,543
Acer,Aspire 7,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Linux,544
Asus,VivoBook X540YA-XX519T,Notebook,1366x768,AMD,E-Series 7110,AMD,Radeon R2 Graphics,Windows 10,545
HP,ProBook 450,Notebook,Full HD 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,546
Lenovo,ThinkPad E470,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,547
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,Full HD 1920x1080,Intel,Core i5 6200U,Intel,HD Graphics 520,No OS,548
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,549
Lenovo,ThinkPad T570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,550
Lenovo,IdeaPad 320-15ISK,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,551
Dell,Latitude 5580,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,552
Dell,Alienware 17,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,553
HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,1600x900,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,554
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 930MX,Windows 10,555
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Linux,556
Mediacom,SmartBook 130,Notebook,IPS Panel Full HD 1920x1080,Intel,Atom x5-Z8350,Intel,HD Graphics,Windows 10,557
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,558
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,IPS Panel Full HD 1920x1080,AMD,A10-Series A10-9620P,AMD,Radeon 530,Windows 10,559
Dell,Vostro 3568,Notebook,1366x768,Intel,Core i3 6006U,AMD,Radeon R5 M420,Windows 10,560
Acer,Spin SP111-31,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,561
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i3 7130U,Intel,HD Graphics 620,Windows 10,562
HP,EliteBook 1030,Ultrabook,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel,Core M 6Y75,Intel,HD Graphics 515,Windows 10,563
Lenovo,Thinkpad P71,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,Quadro M620M,Windows 10,564
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,565
Dell,XPS 13,Ultrabook,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,566
Dell,Latitude 5580,Notebook,1366x768,Intel,Core i5 7300U,Intel,HD Graphics 620,Windows 10,567
Fujitsu,Lifebook A557,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,568
Lenovo,IdeaPad 320-15IAP,Notebook,Full HD 1920x1080,Intel,Pentium Quad Core N4200,Intel,HD Graphics 505,Windows 10,569
Lenovo,ThinkPad L470,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,570
HP,ZBook 17,Workstation,1600x900,Intel,Core i5 7440HQ,Nvidia,Quadro M1200,Windows 10,571
HP,14-am079na (N3710/8GB/2TB/W10),Notebook,1366x768,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405,Windows 10,572
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,IPS Panel Full HD 1920x1080,AMD,A9-Series A9-9420,AMD,Radeon 530,Windows 10,573
Lenovo,Thinkpad E570,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,574
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,HD Graphics 620,Windows 10,575
Mediacom,SmartBook 141,Notebook,Full HD 1920x1080,Intel,Atom x5-Z8350,Intel,HD Graphics,Windows 10,576
Toshiba,Tecra X40-D-10H,Ultrabook,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,577
Lenovo,IdeaPad Y910-17ISK,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HK,Nvidia,GeForce GTX 1070,Windows 10,578
MSI,GT73VR Titan,Gaming,Full HD 1920x1080,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1070,Windows 10,579
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R5 M430,Linux,580
Mediacom,SmartBook Edge,Notebook,IPS Panel Full HD 1920x1080,Intel,Celeron Quad Core N3450,Intel,HD Graphics 500,Windows 10,581
Dell,Latitude 5580,Notebook,1366x768,Intel,Core i5 7300U,Intel,HD Graphics 620,Windows 10,582
HP,ProBook 430,Notebook,Full HD 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,583
Dell,Latitude 5580,Notebook,Full HD 1920x1080,Intel,Core i7 7600U,Nvidia,GeForce 930MX,Windows 10,584
Dell,Chromebook 11,Netbook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Chrome OS,585
MSI,GT80S 6QE,Gaming,Full HD 1920x1080,Intel,Core i7 6820HK,Nvidia,GeForce GTX 980M,Windows 10,586
HP,Omen 17-AN010nv,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,587
Lenovo,Thinkpad T460s,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 6600U,Intel,HD Graphics 520,Windows 10,588
Lenovo,Ideapad 320-15IKBR,Notebook,Touchscreen 1366x768,Intel,Core i7 8550U,Intel,HD Graphics 620,Windows 10,589
Asus,ROG Strix,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060,Windows 10,590
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,Touchscreen 1366x768,Intel,Core i5 7200U,Intel,HD Graphics 520,Windows 10,591
Lenovo,IdeaPad 320-15ABR,Notebook,Full HD 1920x1080,AMD,A12-Series 9720P,AMD,Radeon 530,Windows 10,592
Dell,Inspiron 3179,2 in 1 Convertible,Touchscreen 1366x768,Intel,Core M 7Y30,Intel,HD Graphics 615,Windows 10,593
Samsung,Notebook Odyssey,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,594
Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,595
Lenovo,IdeaPad 110-15ISK,Notebook,1366x768,Intel,Core i3 6100U,Intel,HD Graphics 520,Windows 10,596
Lenovo,ThinkPad Yoga,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,597
